111  34.44857286  135.23703983
111  34.44844451  135.23736308
111  34.44818287  135.23762647
112  34.44781017  135.23787788  34.44766084  135.23789435
111  34.44742512  135.23754266
112  34.44496923  135.23379244  34.44500626  135.23362563
111  34.44472240  135.23132026
111  34.44376133  135.22992042
111  34.44409365  135.23101568
112  34.44425344  135.23241267  34.44415060  135.23254350
112  34.44381580  135.23214319  34.44380593  135.23212224
111  34.44223195  135.22975199
111  34.44220726  135.22953052
111  34.44194563  135.22717815
111  34.44104719  135.22580444
111  34.43947739  135.22519392
111  34.43927746  135.22352396
111  34.43997598  135.22424222
111  34.43804334  135.22137219
111  34.43841852  135.22222810
111  34.43660189  135.22137519
111  34.43650563  135.22130336
111  34.43485931  135.21885539
112  34.43478033  135.21848131  34.43482631  135.21838097
111  34.43494879  135.21839153
111  34.43567526  135.21873484
111  34.43638978  135.21925062
111  34.43704124  135.21990581
111  34.43587376  135.21812519
111  34.43369184  135.21708975
112  34.43119151  135.21328028  34.43120671  135.21303611
111  34.43119151  135.21328028
112  34.43119151  135.21328028  34.43119911  135.21315820
111  34.43132448  135.21292908
111  34.43176300  135.21250348
111  34.43205539  135.21241545
111  34.43152966  135.21164041
111  34.43152463  135.21178216
111  34.43140872  135.21200249
111  34.43100146  135.21240049
112  34.43072255  135.21250991  34.43060273  135.21249977
111  34.43044610  135.21232568
111  34.42853322  135.20948588
112  34.42842955  135.20918366  34.42842575  135.20904085
111  34.42850360  135.20892332
111  34.42898244  135.20842359
112  34.42920458  135.20834279  34.42930573  135.20836323
111  34.42948596  135.20869889
111  34.42952051  135.20865400
111  34.42885656  135.20769045
111  34.42799514  135.20859714
112  34.42786432  135.20931531  34.42792850  135.20960856
111  34.42805685  135.20980904
111  34.43575282  135.22123434
112  34.43583092  135.22162184  34.43577937  135.22169110
111  34.43574788  135.22169820
111  34.43623166  135.22241643
112  34.43630638  135.22226303  34.43642506  135.22222706
111  34.43630638  135.22226303
112  34.43630638  135.22226303  34.43641765  135.22228102
111  34.43658708  135.22248526
111  34.43808131  135.22470491
111  34.43952781  135.22677546
111  34.44124500  135.22932306
112  34.44136183  135.22973066  34.44136183  135.22993743
111  34.44126911  135.22986946
112  34.44172901  135.23055527  34.44173086  135.23055302
112  34.44186084  135.23046036  34.44197752  135.23047940
111  34.44213884  135.23069019
111  34.44383193  135.23320638
112  34.44392836  135.23362462  34.44389021  135.23371985
112  34.44383378  135.23368758  34.44383193  135.23368084
111  34.44429368  135.23436667
112  34.44435117  135.23427673  34.44442746  135.23422775
111  34.44466456  135.23444987
112  34.44708830  135.23808149  34.44709572  135.23808149
112  34.44716852  135.23844142  34.44712364  135.23850945
111  34.44708644  135.23853798
111  34.44753336  135.23922385
112  34.44760539  135.23912679  34.44767494  135.23912135
111  34.44789126  135.23935877
111  34.44947680  135.24170199
111  34.44993613  135.24233757
112  34.44991259  135.24243510  34.44988899  135.24247611
111  34.44983841  135.24247108
111  34.45031314  135.24320194
112  34.45036507  135.24307601  34.45042169  135.24304549
111  34.45057833  135.24316596
111  34.45105862  135.24270720
111  34.45106604  135.24256777
112  34.45122367  135.24233390  34.45139115  135.24211556
113  34.45172992  135.24181217
111  34.43879548  135.22402020
112  34.43874386  135.22431953  34.43864067  135.22442161
111  34.43841843  135.22415898
111  34.43768230  135.22301335
112  34.43769682  135.22268680  34.43781359  135.22254851
113  34.43863613  135.22307593
111  34.44146076  135.22801975
112  34.44140645  135.22820534  34.44132878  135.22828865
111  34.44107563  135.22805268
111  34.44005604  135.22647813
112  34.44005357  135.22618178  34.44011630  135.22610210
111  34.44026589  135.22617280
113  34.44124351  135.22669067
110 1 0.25 336.0400 Taxiway-A-P-L-R-E-J
111  34.43828507  135.25996463
111  34.43919784  135.25906572
111  34.43930316  135.25844891
112  34.43930455  135.25799439  34.43934033  135.25770996
111  34.43946884  135.25745109
112  34.44222004  135.25471282  34.44237185  135.25452436
111  34.44248889  135.25428903
112  34.44265916  135.25372760  34.44267000  135.25340328
111  34.44255162  135.25287640
111  34.43992290  135.25544447
112  34.43981749  135.25575768  34.43979999  135.25602283
111  34.43985587  135.25600676
111  34.43963873  135.25619822
111  34.42864121  135.23960019
112  34.42808001  135.23943451  34.42795433  135.23965763
111  34.42810343  135.24008662
111  34.42791273  135.24025298
111  34.42518267  135.23617233
111  34.41985204  135.22824673
111  34.41977270  135.22829693
112  34.41981351  135.22855168  34.41985227  135.22880148
111  34.41830573  135.23016674
111  34.41924612  135.23153695
112  34.41925352  135.23133644  34.41929969  135.23124426
111  34.41985096  135.23075586
112  34.42011018  135.23072892  34.42031032  135.23076513
111  34.42043606  135.23098928
111  34.42177412  135.23300638
112  34.42183090  135.23338047  34.42178030  135.23355136
111  34.42169759  135.23361391
111  34.42123346  135.23408676
112  34.42110015  135.23416158  34.42103101  135.23419224
111  34.42097231  135.23412800
111  34.42142109  135.23480202
112  34.42141935  135.23465971  34.42142343  135.23453604
111  34.42176671  135.23423939
111  34.42217652  135.23392216
111  34.42250487  135.23642410
113  34.42361581  135.23810903
111  34.43874896  135.25876974
111  34.43819795  135.25939837
111  34.43805149  135.25914748
112  34.43804219  135.25894734  34.43806543  135.25882048
111  34.43812821  135.25877256
111  34.43849089  135.25838355
114  34.43874664  135.25839764  34.43887916  135.25852168
111  34.43889140  135.25694609
112  34.43886450  135.25720236  34.43876075  135.25730720
111  34.43866660  135.25716509
114  34.43869542  135.25693212  34.43877804  135.25683194
111  34.43936145  135.25646214
112  34.43934017  135.25627325  34.43940131  135.25622242
111  34.43949039  135.25633256
114  34.43950961  135.25653164  34.43945022  135.25660577
112  34.43991554  135.25587864  34.43977232  135.25558406
111  34.44020197  135.25525226
112  34.44078250  135.25508791  34.44092060  135.25530187
113  34.44052164  135.25570809
112  34.44186815  135.25405173  34.44202392  135.25430826
111  34.44170773  135.25456762
112  34.44123809  135.25465783  34.44109860  135.25443230
113  34.44139619  135.25413066
111  34.43866727  135.25554200
111  34.43807314  135.25464902
112  34.43803910  135.25431884  34.43811784  135.25420167
111  34.43834545  135.25446892
111  34.43886841  135.25527935
114  34.43894268  135.25568082  34.43886513  135.25575026
111  34.43790530  135.25617518
112  34.43737522  135.25531823  34.43737522  135.25530977
112  34.43738684  135.25493486  34.43752634  135.25476009
111  34.43777510  135.25508708
111  34.43829123  135.25591866
114  34.43829821  135.25631895  34.43816569  135.25644580
111  34.43816230  135.25797972
111  34.43764185  135.25852904
112  34.43747335  135.25861075  34.43737617  135.25860765
111  34.43734979  135.25851996
111  34.43616880  135.25676350
112  34.43594194  135.25636353  34.43593682  135.25625190
112  34.43604824  135.25609157  34.43605199  135.25607795
111  34.43662714  135.25557814
112  34.43684605  135.25555134  34.43699438  135.25560096
111  34.43713775  135.25582551
111  34.43814733  135.25742132
114  34.43822970  135.25772549  34.43821691  135.25792085
112  34.43738409  135.25366092  34.43737171  135.25366092
111  34.43671260  135.25257286
112  34.43663214  135.25219392  34.43670641  135.25207761
111  34.43699700  135.25239789
111  34.43758523  135.25332700
114  34.43765331  135.25373971  34.43754810  135.25382976
111  34.43653469  135.25413808
111  34.43463184  135.25131465
112  34.43455029  135.25072141  34.43471339  135.25049070
111  34.43501241  135.25097409
111  34.43689714  135.25374259
114  34.43698322  135.25433585  34.43685183  135.25451162
112  34.43624547  135.25163625  34.43612478  135.25180508
111  34.43587722  135.25141864
111  34.43527999  135.25054821
112  34.43516240  135.25003796  34.43530166  135.24993666
111  34.43553374  135.25025932
113  34.43614954  135.25115976
111  34.43442763  135.24928340
111  34.43384278  135.24842048
112  34.43372829  135.24792149  34.43380255  135.24780519
111  34.43413366  135.24811659
111  34.43471232  135.24901702
114  34.43479278  135.24949350  34.43468757  135.24960605
111  34.43365883  135.24987816
111  34.43179597  135.24707560
112  34.43168147  135.24644155  34.43185167  135.24624647
111  34.43219515  135.24669292
111  34.43405076  135.24946920
114  34.43415049  135.25012964  34.43400403  135.25027622
111  34.43301202  135.24716964
111  34.43242042  135.24626172
112  34.43231557  135.24578960  34.43241293  135.24565795
111  34.43270873  135.24598026
111  34.43330407  135.24689727
114  34.43338270  135.24737847  34.43328160  135.24751465
111  34.43158175  135.24499864
111  34.43100184  135.24413627
112  34.43088857  135.24366389  34.43100193  135.24352412
111  34.43126008  135.24390008
111  34.43184000  135.24474047
114  34.43190796  135.24519088  34.43175869  135.24527944
111  34.43015731  135.24292439
111  34.42957143  135.24206188
112  34.42949471  135.24157708  34.42964118  135.24145024
111  34.42986204  135.24179693
111  34.43042700  135.24263689
114  34.43052697  135.24313298  34.43042932  135.24325700
111  34.42872253  135.24074859
111  34.42831747  135.24016259
112  34.42819833  135.23959723  34.42833449  135.23950645
111  34.42853191  135.23977881
111  34.42900165  135.24047623
114  34.42909356  135.24098794  34.42896421  135.24112412
111  34.43080169  135.24557630
111  34.42893703  135.24277546
112  34.42883968  135.24216718  34.42901941  135.24198561
111  34.42931146  135.24241685
111  34.43118361  135.24520408
114  34.43130343  135.24586684  34.43112371  135.24601664
111  34.42795742  135.24134548
111  34.42762792  135.24083708
112  34.42752308  135.24024242  34.42765788  135.24001999
111  34.42800984  135.24046485
111  34.42834309  135.24094602
114  34.42843295  135.24159061  34.42827943  135.24175402
111  34.42665791  135.23947590
111  34.42613876  135.23870080
112  34.42605436  135.23809622  34.42619246  135.23790089
111  34.42652237  135.23830705
111  34.42661444  135.23846517
111  34.42642007  135.23864809
111  34.42661955  135.23891782
111  34.42679090  135.23873800
111  34.42702874  135.23906665
114  34.42713615  135.23971463  34.42695713  135.23984175
111  34.42543439  135.23748016
112  34.42546129  135.23721228  34.42556313  135.23710280
111  34.42567649  135.23724257
114  34.42563998  135.23750811  34.42551894  135.23759197
111  34.42464210  135.23648469
111  34.42294426  135.23394151
112  34.42285343  135.23329566  34.42304033  135.23315802
111  34.42333204  135.23353918
111  34.42501590  135.23609719
114  34.42511896  135.23671976  34.42495826  135.23688281
111  34.42203112  135.23257114
111  34.42078566  135.23069861
112  34.42066802  135.23005688  34.42085215  135.22987706
111  34.42113858  135.23030799
111  34.42241728  135.23219292
114  34.42248633  135.23281917  34.42229709  135.23299898
111  34.42005621  135.22947446
112  34.42008715  135.22919824  34.42021656  135.22909252
111  34.42029814  135.22923916
114  34.42027845  135.22950174  34.42017436  135.22961087
111  34.41960602  135.23019657
112  34.41934732  135.23053079  34.41927924  135.23061332
111  34.41907501  135.23068759
112  34.41907501  135.23068759  34.41884014  135.23064220
111  34.41875164  135.23041113
111  34.41910564  135.23004389
112  34.41910564  135.23004389  34.41908862  135.23005627
112  34.41962644  135.22992836  34.41973537  135.23008516
111  34.41962644  135.22992836
114  34.41962644  135.22992836  34.41968090  135.22999438
112  34.42284502  135.23505387  34.42302171  135.23487913
111  34.42329073  135.23523654
112  34.42433779  135.23679828  34.42434876  135.23681821
112  34.42444195  135.23713721  34.42444195  135.23735986
111  34.42437069  135.23744955
112  34.42407153  135.23779759  34.42390611  135.23795839
112  34.42365670  135.23807727  34.42360439  135.23806177
111  34.42365670  135.23807727
112  34.42365670  135.23807727  34.42355208  135.23804627
111  34.42335622  135.23761273
113  34.42301114  135.23664543
111  34.42478402  135.23788048
111  34.42512835  135.24028613
111  34.42401382  135.23862195
114  34.42428565  135.23818256  34.42458920  135.23785851
111  34.42738299  135.24144973
111  34.42778168  135.24414433
111  34.42609720  135.24171556
112  34.42558887  135.24043472  34.42545782  135.23986278
111  34.42542441  135.23939555
112  34.42546926  135.23899076  34.42556287  135.23870025
113  34.42589786  135.23916597
111  34.42981124  135.24492787
112  34.42985948  135.24548348  34.42964842  135.24557852
111  34.42952782  135.24542500
111  34.42841825  135.24476703
111  34.42808659  135.24329027
112  34.42817101  135.24287356  34.42831852  135.24274075
113  34.42857504  135.24304901
111  34.43267571  135.24916428
112  34.43276327  135.24970389  34.43267715  135.24983554
111  34.43234736  135.24976582
112  34.43125287  135.24904928  34.43097205  135.24884954
111  34.43062537  135.24845658
111  34.42878663  135.24561698
113  34.43095371  135.24668736
111  34.43349653  135.25080868
112  34.43313409  135.25127807  34.43289108  135.25154772
111  34.43275928  135.25155272
111  34.43265631  135.25151776
113  34.43156897  135.24989985
111  34.43532544  135.25403315
111  34.43400333  135.25321419
112  34.43309309  135.25212558  34.43299836  135.25172110
111  34.43309309  135.25212558
112  34.43309309  135.25212558  34.43306426  135.25201572
111  34.43318370  135.25187091
111  34.43371090  135.25139651
112  34.43399921  135.25132660  34.43411865  135.25135656
111  34.43420926  135.25149638
111  34.43551078  135.25345389
114  34.43560551  135.25397323  34.43549843  135.25412304
112  34.43636764  135.25502978  34.43637139  135.25501616
112  34.43598198  135.25552915  34.43574983  135.25575614
112  34.43558134  135.25579700  34.43548025  135.25578792
111  34.43547276  135.25572890
113  34.43438316  135.25412638
110 2 0.25 150.0000 Cargo2TamacB
111  34.43649723  135.22632533
111  34.43572454  135.22518626
111  34.43303328  135.22779407
111  34.43345877  135.22844613
111  34.43343835  135.22846263
113  34.43377533  135.22895787
110 2 0.25 150.0000 Cargo2TarmacA
111  34.43738442  135.22460712
111  34.43622223  135.22285240
111  34.43596458  135.22309168
111  34.43610163  135.22329773
111  34.43526836  135.22412191
111  34.43622223  135.22552436
111  34.43629350  135.22543130
113  34.43638121  135.22553765
110 1 0.25 138.0100 Taxiway-J3-J4
111  34.43090261  135.23505098
111  34.43159154  135.23437093
111  34.43143503  135.23415254
111  34.43485532  135.23079237
112  34.43526930  135.23067589  34.43536494  135.23086007
111  34.43507165  135.23115738
111  34.43463907  135.23158544
111  34.43501263  135.23212697
111  34.43507761  135.23214948
111  34.43527566  135.23195064
111  34.43495693  135.23148541
111  34.43631849  135.23012724
111  34.43669602  135.23069004
111  34.43843820  135.22899416
111  34.43963576  135.23079514
111  34.43967599  135.23085518
111  34.44029178  135.23026235
111  34.43862696  135.22781602
112  34.43850937  135.22730950  34.43859888  135.22721647
111  34.43876312  135.22741080
111  34.43923038  135.22694930
112  34.43923038  135.22665664  34.43933012  135.22651710
111  34.43963266  135.22687426
111  34.43806377  135.22464180
112  34.43821231  135.22513706  34.43817650  135.22527039
111  34.43780693  135.22499823
111  34.43627827  135.22266451
111  34.43589146  135.22306972
111  34.43601833  135.22328358
111  34.43498478  135.22436036
111  34.43539325  135.22497192
111  34.43242566  135.22784206
111  34.43309238  135.22881288
111  34.43340970  135.22851361
111  34.43384911  135.22914015
112  34.43414928  135.22904636  34.43418647  135.22918448
111  34.43399146  135.22939902
111  34.43053185  135.23278305
111  34.43036475  135.23256170
111  34.42940237  135.23346959
111  34.42965921  135.23381099
113  34.42990496  135.23355899
112  34.43883131  135.22583254  34.43891585  135.22594203
111  34.43881017  135.22600261
112  34.43867375  135.22597698  34.43860074  135.22589311
113  34.43867760  135.22580458
112  34.43810886  135.22647088  34.43819532  135.22656174
111  34.43811462  135.22665260
112  34.43797243  135.22665726  34.43789942  135.22657106
113  34.43797243  135.22646855
112  34.43743785  135.22713933  34.43755746  135.22738707
111  34.43716874  135.22770127
111  34.43569855  135.22909708
112  34.43521514  135.22930856  34.43509553  135.22909708
111  34.43548924  135.22873453
113  34.43692952  135.22735081
112  34.43797969  135.22800261  34.43813208  135.22815243
111  34.43772844  135.22859188
111  34.43628689  135.22997017
112  34.43577616  135.23016493  34.43563613  135.22998515
111  34.43606859  135.22961561
113  34.43748956  135.22822734
112  34.43592723  135.22726922  34.43598509  135.22740954
111  34.43566853  135.22776447
111  34.43514093  135.22827622
112  34.43466438  135.22851972  34.43456907  135.22838765
111  34.43497413  135.22803272
113  34.43549493  135.22748795
111  34.43695821  135.22650882
112  34.43649967  135.22672371  34.43642371  135.22660774
111  34.43649967  135.22672371
112  34.43649967  135.22672371  34.43644622  135.22666913
111  34.43663470  135.22643719
111  34.43711294  135.22592215
113  34.43758554  135.22580959
111  34.43705178  135.22581695
111  34.43687477  135.22554456
111  34.43713007  135.22527217
111  34.43700412  135.22506994
111  34.43716751  135.22490898
111  34.43748067  135.22537948
113  34.43759300  135.22567663
112  34.43471940  135.22980634  34.43484898  135.23001177
111  34.43444032  135.23037431
111  34.43292529  135.23188486
112  34.43242194  135.23207821  34.43225747  135.23196341
111  34.43266613  135.23149816
113  34.43420110  135.23001177
112  34.43188624  135.23255479  34.43201311  135.23275738
111  34.43164286  135.23311315
111  34.43140832  135.23331494
111  34.43117825  135.23297510
113  34.43138708  135.23272953
111  34.43108848  135.23363356
111  34.43087131  135.23328856
111  34.43113715  135.23300711
113  34.43137304  135.23333395
110 2 0.25 150.0000 Terminal2Tarmac
111  34.43909469  135.23131855
111  34.43962694  135.23078576
111  34.43844485  135.22898856
111  34.43669029  135.23068070
111  34.43630348  135.23011040
111  34.43493573  135.23147610
111  34.43574029  135.23269548
113  34.43831798  135.23015164
110 1 0.25 150.0000 Terminal2Apron
112  34.43450188  135.23187476  34.43460640  135.23186042
111  34.43468244  135.23202058
111  34.43544545  135.23324576
111  34.43557650  135.23351815
111  34.43578618  135.23328662
111  34.43567010  135.23308686
111  34.43570380  135.23303239
111  34.43583111  135.23322306
111  34.43614189  135.23294159
111  34.43603330  135.23275546
111  34.43623924  135.23256932
111  34.43684207  135.23349091
111  34.43665860  135.23368158
111  34.43669979  135.23379054
112  34.43684956  135.23374060  34.43693166  135.23378931
111  34.43692445  135.23384048
112  34.43666983  135.23439434  34.43678433  135.23472827
112  34.43711915  135.23522968  34.43711296  135.23540977
111  34.43710417  135.23540219
111  34.43717906  135.23557017
111  34.43741120  135.23532048
111  34.43943687  135.23335924
112  34.43952673  135.23307776  34.43952364  135.23292768
111  34.43949678  135.23288708
111  34.43886399  135.23195639
111  34.43908491  135.23174302
111  34.43911112  135.23178842
111  34.43988244  135.23101662
111  34.43971769  135.23077601
111  34.43967651  135.23084411
111  34.43843714  135.22895550
111  34.43669604  135.23063072
111  34.43632536  135.23008594
111  34.43493997  135.23146605
111  34.43523951  135.23194727
111  34.43508102  135.23213344
111  34.43501860  135.23211978
111  34.43455805  135.23145697
111  34.43420608  135.23179745
113  34.43432590  135.23200174
110 1 0.30 0.2200 TerminalCargoSeparator
111  34.42714878  135.23799678
111  34.42734485  135.23828202
111  34.43008427  135.23562874
113  34.42988446  135.23535480
110 1 0.25 150.0000 Cargo2Apron
111  34.43539732  135.22497596
111  34.43420220  135.22318576
111  34.43408686  135.22329646
111  34.43389505  135.22360653
111  34.42852258  135.22885801
111  34.42860870  135.22894426
111  34.43016258  135.22744625
111  34.43040596  135.22771408
111  34.43061939  135.22746894
111  34.43249154  135.23028344
111  34.43260761  135.23018810
111  34.43160414  135.22864466
111  34.43196359  135.22830419
111  34.43294834  135.22979771
111  34.43304944  135.22993843
111  34.43355718  135.22949795
111  34.43309504  135.22881225
113  34.43242569  135.22784287
111  34.43160763  135.22855538
111  34.43091316  135.22750468
111  34.43244739  135.22600213
113  34.43314066  135.22707102
110 2 0.25 150.0000 TerminalTarmac
111  34.43779300  135.24926314
111  34.43783113  135.24932172
111  34.43769776  135.24945690
111  34.43774457  135.24953784
111  34.43781981  135.24947013
111  34.43955364  135.25207692
111  34.43952623  135.25211015
111  34.44038656  135.25328177
111  34.43971226  135.25399964
111  34.43945752  135.25364691
111  34.43951527  135.25359906
111  34.43914249  135.25303407
111  34.43918847  135.25298410
111  34.43915533  135.25294680
111  34.43911508  135.25299419
111  34.43855043  135.25219656
111  34.43760204  135.25070103
111  34.43764041  135.25066780
111  34.43744306  135.25038199
111  34.43738824  135.25044846
111  34.43565044  135.24786954
111  34.43317256  135.24418737
111  34.43006425  135.23944855
111  34.42998750  135.23949507
111  34.42976822  135.23919600
111  34.43020130  135.23886369
111  34.43015744  135.23867760
111  34.43042606  135.23846492
111  34.43305195  135.24243944
111  34.43331634  135.24218425
111  34.43354480  135.24251874
111  34.43393341  135.24214457
111  34.43370741  135.24180073
111  34.43397749  135.24153862
111  34.43282719  135.23977423
112  34.43279978  135.23865764  34.43273418  135.23850446
111  34.43271687  135.23843242
111  34.43146217  135.23637795
111  34.43153343  135.23605894
111  34.42990678  135.23355054
111  34.42965742  135.23380424
112  34.42897881  135.23284889  34.42900073  135.23284889
111  34.42630906  135.23547400
111  34.42311304  135.23066253
111  34.42320075  135.23056285
111  34.42256483  135.22963248
111  34.42149036  135.23067582
111  34.42284442  135.23274926
111  34.42530585  135.23641772
111  34.42791980  135.24026919
111  34.42816747  135.24004032
112  34.42810716  135.23942170  34.42829283  135.23930916
111  34.42854573  135.23953469
111  34.42972436  135.24148865
111  34.43205971  135.24494470
111  34.43353985  135.24716459
111  34.43961846  135.25625367
111  34.43988054  135.25601277
111  34.43981502  135.25575650
111  34.43992493  135.25543359
111  34.44248656  135.25290927
111  34.44244640  135.25280419
111  34.44194760  135.25196360
111  34.43999045  135.24903952
111  34.43986152  135.24894982
113  34.43844966  135.24861155
110 1 0.50 200.0000 TerminalTarmac2
111  34.43107168  135.23503194
111  34.43150180  135.23569063
111  34.43184136  135.23540833
112  34.43193191  135.23517309  34.43196425  135.23496992
111  34.43176698  135.23461241
113  34.43163439  135.23445166
110 1 0.50 200.0000 TerminalTarmac3-Tower
111  34.43423292  135.24049232
111  34.43433448  135.23971462
111  34.43461243  135.23932577
111  34.43453493  135.23923828
111  34.43471934  135.23904709
111  34.43441733  135.23856427
111  34.43361286  135.23739773
111  34.43329214  135.23694084
111  34.43322265  135.23696352
111  34.43277364  135.23628629
111  34.43280993  135.23624042
111  34.43271752  135.23610808
111  34.43267827  135.23616196
111  34.43262706  135.23608335
111  34.43265605  135.23604651
111  34.43259724  135.23596601
111  34.43256785  135.23599790
111  34.43218566  135.23543409
111  34.43181416  135.23579376
111  34.43242085  135.23673670
111  34.43238061  135.23677578
111  34.43258656  135.23708665
111  34.43255984  135.23711280
111  34.43280037  135.23742365
111  34.43275761  135.23748521
111  34.43332421  135.23833744
111  34.43335361  135.23873276
111  34.43333223  135.23967895
113  34.43402712  135.24071588
110 1 0.50 200.0000 TerminalTarmac4
111  34.43498535  135.24015067
111  34.43483952  135.24032748
111  34.43530305  135.24123047
111  34.43524055  135.24145779
111  34.43530826  135.24174195
111  34.43489681  135.24213978
111  34.43477702  135.24247445
111  34.43586554  135.24404049
111  34.43580825  135.24410995
111  34.43682907  135.24563182
111  34.43691761  135.24561919
111  34.43812593  135.24734316
111  34.43876133  135.24670535
111  34.43846446  135.24634540
111  34.43858946  135.24620648
111  34.44002694  135.24735578
111  34.44016236  135.24727369
111  34.43881863  135.24525293
111  34.43724052  135.24288489
111  34.43587596  135.24075685
111  34.43565200  135.24088946
113  34.43525097  135.24015065
110 1 0.50 200.0000 TerminalTamac5
111  34.43382759  135.24319216
111  34.43401516  135.24346663
111  34.43378232  135.24370188
111  34.43424477  135.24434491
111  34.43449054  135.24409789
111  34.43465547  135.24430178
111  34.43489155  135.24407829
111  34.43485274  135.24400379
111  34.43502737  135.24383127
113  34.43428034  135.24277263
110 1 0.50 200.0000 TerminalTarmac6
111  34.43610936  135.24714667
111  34.43709130  135.24864023
111  34.43739999  135.24839428
111  34.43731179  135.24823743
111  34.43756462  135.24796653
111  34.43744409  135.24777760
111  34.43746173  135.24737481
113  34.43682376  135.24648010
110 1 0.25 150.0000 TerminalApron
111  34.43999771  135.24891735
111  34.43844062  135.24855729
111  34.43810068  135.24889116
111  34.43767942  135.24824761
111  34.43717661  135.24873702
111  34.43611521  135.24715513
111  34.43689685  135.24640352
111  34.43527528  135.24391804
111  34.43496458  135.24419850
111  34.43487535  135.24406675
111  34.43442750  135.24454804
111  34.43324360  135.24279089
111  34.43377865  135.24270837
112  34.43403904  135.24241240  34.43413390  135.24214701
111  34.43406694  135.24150193
111  34.43298585  135.23985294
111  34.43294168  135.23848021
111  34.43154208  135.23638589
111  34.43161648  135.23609838
111  34.42969145  135.23316415
111  34.42952405  135.23333609
111  34.42894283  135.23244257
111  34.42637612  135.23495957
111  34.42149380  135.22760621
111  34.42196110  135.22717499
111  34.42077540  135.22535150
111  34.42070797  135.22545578
111  34.42029414  135.22484983
111  34.41982218  135.22416216
111  34.41810175  135.22579396
111  34.41836679  135.22620825
111  34.41978033  135.22830789
111  34.41985473  135.22825434
111  34.42144962  135.23065841
111  34.42325143  135.23332182
111  34.42775944  135.24006656
111  34.42791056  135.24026668
111  34.42813375  135.24005811
112  34.42811449  135.23942563  34.42825064  135.23932247
111  34.42859791  135.23958267
111  34.43961650  135.25624961
111  34.43988375  135.25601084
112  34.43985266  135.25558481  34.43993776  135.25521749
111  34.43985266  135.25558481
112  34.43985266  135.25558481  34.44011136  135.25520923
113  34.44255464  135.25288002
110 1 0.55 220.0000 CargoTarmac
111  34.42086349  135.22494876
111  34.42163081  135.22417897
111  34.42217764  135.22500935
111  34.42153673  135.22563661
111  34.42127214  135.22522676
111  34.42090465  135.22557602
111  34.42194244  135.22717979
